,Date (America/Chicago),"Maschhoff_BIBL_C_RM4  Temp shock - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4 Temp (°C) - data
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - color
 (MO1936XX-P6TLS59Q)","Maschhoff_BIBL_C_RM4  ReHS - data
(MO1936XX-P6TLS59Q)","Maschhoff_BIBL_WC_RM3 Temp shock - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3Temp (°C) - data
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - color
 (MO201201-JPTKLQ7D)","Maschhoff_BIBL_WC_RM3 ReHS - data
(MO201201-JPTKLQ7D)","Maschhoff_BIBL_EC_RM4 Temp shock - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4Temp (°C) - data
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - color
 (MO201201-4C7S5KNG)","Maschhoff_BIBL_EC_RM4 ReHS - data
(MO201201-4C7S5KNG)","Maschhoff_BIBL_EE_RM3 Temp shock - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3Temp (°C) - data
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - color
 (MO201201-KQQ77D7J)","Maschhoff_BIBL_EE_RM3 ReHS - data
(MO201201-KQQ77D7J)","Maschhoff_BIBL_WC_RM4 Temp shock - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4Temp (°C) - data
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - color
 (MO201401-8FBZLPSJ)","Maschhoff_BIBL_WC_RM4 ReHS - data
(MO201401-8FBZLPSJ)","Maschhoff_BIBL_WW_RM4 Temp shock - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4Temp (°C) - data
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - color
 (MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM4 ReHS - data
(MO201401-SWCJ996P)","Maschhoff_BIBL_WW_RM3 Temp shock - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3Temp (°C) - data
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - color
 (MO201401-8HZ6MVH5)","Maschhoff_BIBL_WW_RM3 ReHS - data
(MO201401-8HZ6MVH5)","Maschhoff_BIBL_EE_RM4 Temp shock - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4Temp (°C) - data
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - color
 (MO201401-BGHDKCLJ)","Maschhoff_BIBL_EE_RM4 ReHS - data
(MO201401-BGHDKCLJ)","Maschhoff_BIBL_EC_RM3 Temp shock - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3Temp (°C) - data
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - color
 (MO202001-DSXZ8WVL)","Maschhoff_BIBL_EC_RM3 ReHS - data
(MO202001-DSXZ8WVL)","Maschhoff_BIBL_C_RM3 Temp shock - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3Temp (°C) - data
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - color
 (MO202101-CJSR9JKN)","Maschhoff_BIBL_C_RM3 ReHS - data
(MO202101-CJSR9JKN)"
179,2021-08-06,green,25.5,green,98.0,green,27.5,green,99.0,green,25.5,green,98.0,yellow,24.5,green,96.0,green,26.5,green,98.0,green,27.5,green,98.0,green,27.0,green,98.0,green,25.0,green,98.0,yellow,25.5,green,98.0,green,26.0,green,96.0
180,2021-08-07,yellow,26.0,green,98.0,yellow,27.5,green,98.0,yellow,26.5,green,90.0,yellow,25.5,green,97.0,yellow,27.5,green,98.0,yellow,28.0,green,98.0,yellow,28.0,green,98.0,yellow,26.0,green,97.0,yellow,26.5,green,97.0,yellow,27.0,green,98.0
181,2021-08-08,yellow,26.5,green,99.0,yellow,27.0,green,98.0,yellow,26.5,green,96.0,yellow,25.5,green,98.0,yellow,27.5,green,98.0,yellow,28.0,green,99.0,yellow,28.0,green,99.0,yellow,26.0,green,99.0,yellow,26.5,green,98.0,yellow,27.0,green,98.0
182,2021-08-09,green,25.5,green,99.0,green,26.5,green,99.0,green,25.5,green,94.0,green,24.5,green,96.0,green,27.0,green,99.0,green,28.0,green,96.0,green,27.0,green,96.0,green,25.0,green,99.0,green,25.0,green,95.0,green,26.0,green,98.0
183,2021-08-10,green,27.5,green,98.0,green,28.0,green,99.0,green,28.0,green,94.0,green,27.0,green,94.0,green,28.5,green,98.0,green,29.0,green,99.0,green,29.0,green,98.0,green,27.5,green,98.0,green,27.5,green,98.0,green,28.0,green,97.0
184,2021-08-11,green,28.5,green,93.0,green,29.0,green,98.0,green,29.0,green,93.0,yellow,28.0,green,97.0,green,29.5,green,96.0,green,30.0,green,99.0,green,29.5,green,97.0,yellow,28.5,green,99.0,green,28.5,green,96.0,green,29.0,green,97.0
185,2021-08-12,green,27.5,green,96.0,green,28.0,green,99.0,green,28.0,green,83.0,green,27.0,green,94.0,green,28.5,green,97.0,green,29.0,green,99.0,green,28.5,green,99.0,green,27.5,green,98.0,green,27.5,green,94.0,green,28.0,green,98.0
186,2021-08-13,green,26.0,green,98.0,green,26.5,green,99.0,green,26.5,green,97.0,green,26.5,green,96.0,green,27.5,green,99.0,green,28.0,green,99.0,green,28.0,green,96.0,green,26.5,green,97.0,green,26.5,green,95.0,green,27.0,green,96.0
187,2021-08-14,yellow,24.5,green,99.0,yellow,25.5,green,96.0,yellow,25.0,green,94.0,yellow,25.0,green,91.0,yellow,26.0,green,98.0,green,26.5,green,97.0,green,26.5,green,97.0,yellow,24.5,green,98.0,yellow,25.0,green,97.0,yellow,25.5,green,97.0
188,2021-08-15,green,24.0,green,99.0,green,26.5,green,97.0,green,24.5,green,94.0,green,23.5,green,97.0,green,25.5,green,98.0,green,26.5,green,98.0,green,26.0,green,98.0,green,24.0,green,98.0,green,25.5,green,96.0,green,24.5,green,93.0
189,2021-08-16,green,24.5,green,97.0,yellow,25.5,green,99.0,yellow,25.0,green,91.0,green,25.0,green,92.0,green,26.0,green,99.0,green,27.0,green,96.0,yellow,26.5,green,97.0,yellow,25.0,green,98.0,yellow,25.0,green,98.0,yellow,25.5,green,98.0
190,2021-08-17,yellow,25.5,green,97.0,yellow,26.5,green,99.0,yellow,26.0,green,89.0,yellow,25.5,green,95.0,yellow,27.0,green,99.0,yellow,27.5,green,99.0,yellow,27.0,green,99.0,yellow,26.0,green,98.0,yellow,25.5,green,96.0,yellow,26.0,green,98.0
