,Date (America/Chicago),"Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C Temp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E Temp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W Temp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C Temp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E Temp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W Temp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
 (MO201301-MLJQ4R57)"
32,2021-04-16,green,,green,,green,,green,,green,,green,,green,17.5,green,86.0,green,,green,,green,18.5,green,84.0
33,2021-04-17,green,,green,,green,,green,,green,,green,,green,18.0,green,87.0,green,,green,,green,18.5,green,88.0
34,2021-04-18,yellow,,green,,yellow,,green,,yellow,,green,,yellow,19.0,green,89.0,yellow,,green,,green,19.0,green,90.0
35,2021-04-19,green,,green,,green,,green,,green,,green,,green,16.0,green,90.0,yellow,,green,,green,17.0,green,86.0
36,2021-04-20,green,,green,,green,,green,,green,,green,,green,15.5,green,90.0,yellow,,green,,green,18.0,green,89.0
37,2021-04-21,green,,green,,green,,green,,green,,green,,green,16.0,green,92.0,yellow,,green,,green,18.0,green,92.0
38,2021-04-22,green,,green,,green,,green,,green,,green,,green,18.0,green,88.0,yellow,,green,,green,18.5,green,94.0
39,2021-04-23,yellow,,green,,green,,green,,yellow,,green,,yellow,19.0,green,94.0,yellow,,green,,yellow,18.5,green,92.0
40,2021-04-24,yellow,,green,,green,,green,,yellow,,green,,yellow,17.5,green,90.0,yellow,,green,,green,17.5,green,92.0
41,2021-04-25,green,,green,,green,,green,,green,,green,,green,19.0,green,93.0,green,,green,,yellow,19.0,green,93.0
42,2021-04-26,red,,green,,red,,green,,red,,green,,red,23.0,green,96.0,red,,green,,red,23.0,green,98.0
43,2021-04-27,yellow,,green,,green,,green,,yellow,,green,,green,20.0,green,98.0,green,,green,,yellow,19.5,green,99.0
44,2021-04-28,yellow,,green,,green,,green,,green,,green,,green,19.5,green,95.0,green,,green,,green,19.5,green,98.0
45,2021-04-29,red,,green,,yellow,,green,,yellow,,green,,yellow,19.0,green,91.0,yellow,,green,,yellow,19.5,green,97.0
46,2021-04-30,yellow,,green,,yellow,,green,,yellow,,green,,yellow,20.0,green,95.0,yellow,,green,,yellow,20.5,green,97.0
47,2021-05-01,red,,green,,red,,green,,red,,green,,red,25.5,green,99.0,red,,green,,yellow,25.5,green,98.0
48,2021-05-02,red,,green,,red,,green,,red,,green,,red,23.5,green,99.0,red,,green,,yellow,24.0,green,97.0
49,2021-05-03,green,,green,,green,,green,,yellow,,green,,green,20.5,green,95.0,green,,green,,yellow,20.0,green,99.0
50,2021-05-04,yellow,,green,,green,,green,,red,,green,,yellow,17.5,green,94.0,yellow,,green,,yellow,17.0,green,95.0
51,2021-05-05,yellow,,green,,green,,green,,yellow,,green,,yellow,18.0,green,95.0,yellow,,green,,yellow,17.0,green,97.0
52,2021-05-06,yellow,,green,,yellow,,green,,yellow,,green,,yellow,18.0,green,97.0,yellow,,green,,yellow,18.0,green,97.0
53,2021-05-07,yellow,,green,,green,,green,,yellow,,green,,yellow,16.0,green,98.0,green,,green,,yellow,16.5,green,99.0
54,2021-05-08,green,,green,,green,,green,,green,,green,,green,,green,97.0,green,,green,,green,,green,99.0
55,2021-05-09,yellow,,green,,green,,green,,yellow,,green,,green,,green,96.0,green,,green,,yellow,,green,99.0
56,2021-05-10,yellow,,green,,green,,green,,yellow,,green,,green,18.0,green,98.0,yellow,,green,,yellow,18.0,green,99.0
57,2021-05-11,yellow,,green,,green,,green,,yellow,,green,,yellow,17.0,green,98.0,yellow,,green,,yellow,17.5,green,97.0
