,Date (America/Chicago),"Maschhoff_G1TC_RM1_CC Temp shock - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC Temp (°C) - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - color
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_CC ReHS - data
 (MO201901-5K656G4J)","Maschhoff_G1TC_RM1_N Temp shock - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N Temp (°C) - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - color
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_N ReHS - data
 (MO202101-LPSDQKHB)","Maschhoff_G1TC_RM1_NC Temp shock - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC Temp (°C) - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - color
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_NC ReHS - data
 (MO201901-CP26R28V)","Maschhoff_G1TC_RM1_S Temp shock - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S Temp (°C) - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - color
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_S ReHS - data
 (MO201601-FTC7LCLZ)","Maschhoff_G1TC_RM1_SC Temp shock - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC Temp (°C) - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - color
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM1_SC ReHS - data
 (MO202201-X2LJ7F79)","Maschhoff_G1TC_RM2_CC Temp shock - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC Temp (°C) - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - color
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_CC ReHS - data
 (MO201601-9CXHNX97)","Maschhoff_G1TC_RM2_N Temp shock - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N Temp (°C) - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - color
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_N ReHS - data
 (MO201901-2MLQLGBV)","Maschhoff_G1TC_RM2_NC Temp shock - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC Temp (°C) - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - color
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_NC ReHS - data
 (MO202601-HV4JJK6F)","Maschhoff_G1TC_RM2_S Temp shock - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S Temp (°C) - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - color
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_S ReHS - data
 (MO201901-2BC5ZZKR)","Maschhoff_G1TC_RM2_SC Temp shock - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC Temp (°C) - data
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - color
 (MO201401-P9DTQ8WT)","Maschhoff_G1TC_RM2_SC ReHS - data
 (MO201401-P9DTQ8WT)"
31,2021-01-21,yellow,29.5,green,96.0,green,28.5,green,93.0,green,28.5,green,96.0,green,29.0,green,99.0,green,30.5,green,98.0,green,29.0,green,98.0,green,28.0,green,82.0,green,28.0,green,87.0,green,28.5,green,98.0,green,29.0,green,97.0
32,2021-01-22,green,29.5,green,96.0,green,28.5,green,92.0,green,28.5,green,94.0,green,30.0,green,99.0,green,31.0,green,96.0,green,28.5,green,96.0,green,27.5,green,91.0,green,27.5,green,78.0,green,28.5,green,93.0,green,29.0,green,85.0
33,2021-01-23,green,30.0,green,97.0,green,28.5,green,97.0,green,28.5,green,97.0,green,30.5,green,99.0,green,31.5,green,99.0,green,28.0,green,99.0,green,28.0,green,87.0,green,27.5,green,63.0,green,28.0,green,99.0,green,29.0,green,98.0
34,2021-01-24,yellow,29.0,green,97.0,green,28.5,green,98.0,green,28.5,green,98.0,green,29.0,green,97.0,green,30.5,green,96.0,green,28.0,green,98.0,green,28.0,green,91.0,green,28.0,green,70.0,green,28.5,green,99.0,green,28.5,green,97.0
35,2021-01-25,green,28.5,green,99.0,green,27.5,green,96.0,green,27.5,green,97.0,green,28.5,green,92.0,green,30.5,green,99.0,green,28.0,green,99.0,green,26.5,green,98.0,green,27.0,green,91.0,green,28.0,green,94.0,green,29.0,green,99.0
36,2021-01-26,blue,29.0,green,98.0,green,28.0,green,94.0,blue,28.5,green,99.0,green,29.5,green,81.0,blue,30.5,green,99.0,blue,28.5,green,99.0,blue,27.5,green,95.0,green,28.0,green,95.0,green,28.5,green,90.0,green,28.5,green,97.0
37,2021-01-27,green,29.5,green,98.0,green,28.0,green,96.0,green,28.0,green,97.0,green,30.0,green,95.0,green,31.0,green,97.0,green,28.0,green,97.0,green,28.0,green,96.0,green,28.0,green,95.0,green,28.0,green,95.0,green,28.5,green,99.0
38,2021-01-28,blue,29.0,green,99.0,green,28.0,green,97.0,green,28.0,green,99.0,green,29.5,green,99.0,green,30.5,green,98.0,blue,27.5,green,99.0,green,27.0,green,98.0,blue,27.0,green,98.0,green,27.5,green,99.0,green,28.0,green,98.0
39,2021-01-29,green,28.0,green,97.0,green,28.5,green,95.0,green,27.5,green,97.0,green,27.5,green,98.0,green,29.5,green,98.0,green,27.0,green,99.0,green,27.0,green,99.0,green,26.5,green,97.0,green,27.0,green,96.0,green,27.5,green,97.0
40,2021-01-30,yellow,29.5,green,97.0,green,27.5,green,99.0,green,27.0,green,98.0,red,29.5,green,98.0,yellow,31.5,green,99.0,green,26.5,green,99.0,green,27.0,green,95.0,green,26.5,green,99.0,green,27.5,green,92.0,green,27.0,green,98.0
41,2021-01-31,yellow,31.0,green,96.0,green,27.0,green,96.0,green,27.5,green,97.0,yellow,33.0,green,98.0,yellow,34.5,green,99.0,green,27.5,green,99.0,green,27.0,green,98.0,green,27.0,green,98.0,green,28.5,green,92.0,green,28.0,green,97.0
42,2021-02-01,green,28.0,green,93.0,green,26.5,green,96.0,green,26.5,green,96.0,green,29.0,green,97.0,green,31.0,green,97.0,green,27.5,green,99.0,green,27.0,green,98.0,green,27.0,green,99.0,green,28.0,green,93.0,green,28.0,green,96.0
43,2021-02-02,green,26.0,green,97.0,green,26.0,green,92.0,green,26.0,green,98.0,green,26.5,green,95.0,green,28.0,green,93.0,green,27.5,green,99.0,green,27.0,green,99.0,green,26.5,green,99.0,green,28.0,green,93.0,green,28.0,green,95.0
