,Date (America/Chicago),"Maschhoff_4NL2_RM1_C Temp shock - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C Temp (°C) - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - color
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_C ReHS - data
 (MO202201-5PKPG4SX)","Maschhoff_4NL2_RM1_E Temp shock - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E Temp (°C) - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - color
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_E ReHS - data
 (MO201901-S5WWLTCR)","Maschhoff_4NL2_RM1_W Temp shock - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W Temp (°C) - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - color
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM1_W ReHS - data
 (MO202101-C6RVS5CD)","Maschhoff_4NL2_RM2_C Temp shock - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C Temp (°C) - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - color
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_C ReHS - data
 (MO202101-XQTNSFJB)","Maschhoff_4NL2_RM2_E Temp shock - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E Temp (°C) - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - color
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_E ReHS - data
 (MO202101-LCCRBFFN)","Maschhoff_4NL2_RM2_W Temp shock - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W Temp (°C) - data
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - color
 (MO201901-9JN9RLN4)","Maschhoff_4NL2_RM2_W ReHS - data
 (MO201901-9JN9RLN4)"
49,2021-02-08,green,26.5,green,99.0,green,25.5,green,99.0,green,24.0,green,98.0,green,25.0,green,99.0,green,,green,,green,24.5,green,97.0
50,2021-02-09,green,26.0,green,99.0,green,25.5,green,96.0,green,23.5,green,98.0,green,22.5,green,97.0,green,,green,,green,24.0,green,98.0
51,2021-02-10,green,26.0,green,99.0,green,25.0,green,99.0,green,23.5,green,97.0,green,21.0,green,99.0,green,,green,,green,23.5,green,98.0
52,2021-02-11,green,26.0,green,98.0,green,25.0,green,98.0,green,23.5,green,98.0,green,23.0,green,96.0,green,,green,,green,23.5,green,98.0
53,2021-02-12,green,25.0,green,99.0,green,24.5,green,99.0,green,23.0,green,94.0,green,22.5,green,97.0,green,,green,,green,23.0,green,97.0
54,2021-02-13,green,24.5,green,99.0,green,24.0,green,99.0,green,22.5,green,99.0,green,22.5,green,99.0,green,,green,,green,23.0,green,98.0
55,2021-02-14,green,24.0,green,96.0,green,23.5,green,99.0,green,22.0,green,98.0,green,22.0,green,99.0,green,,green,,green,23.5,green,96.0
56,2021-02-15,green,23.5,green,99.0,green,23.0,green,98.0,green,22.0,green,99.0,green,22.5,green,97.0,green,,green,,green,23.5,green,97.0
57,2021-02-16,green,23.5,green,97.0,green,23.0,green,99.0,green,22.5,green,91.0,green,22.0,green,99.0,green,,green,,green,23.5,green,95.0
58,2021-02-17,yellow,23.5,green,99.0,green,23.5,green,98.0,green,22.5,green,95.0,green,22.5,green,99.0,green,,green,,green,23.0,green,97.0
59,2021-02-18,green,23.0,green,97.0,green,23.5,green,99.0,green,23.0,green,94.0,green,22.0,green,99.0,green,,green,,green,23.5,green,96.0
60,2021-02-19,yellow,22.0,green,97.0,green,23.5,green,98.0,green,23.0,green,96.0,yellow,20.5,green,99.0,green,,green,,green,23.5,green,97.0
61,2021-02-20,yellow,21.5,green,93.0,green,23.5,green,95.0,green,23.0,green,88.0,green,21.5,green,98.0,green,,green,,green,24.5,green,97.0
