,Date (America/Chicago),"Barn 1, Room 1 Temperature shock - color","Barn 1, Room 1 Temperature - data","Barn 1, Room 1 ReHS - color","Barn 1, Room 1 ReHS - data","Barn 1, Room 2 Temperature shock - color","Barn 1, Room 2 Temperature - data","Barn 1, Room 2 ReHS - color","Barn 1, Room 2 ReHS - data"
139,2021-05-25,yellow,25.34,green,95.0,yellow,25.29,green,87.0
140,2021-05-26,red,25.23,green,97.0,red,25.17,green,92.0
141,2021-05-27,green,22.92,green,96.0,green,23.19,green,93.0
142,2021-05-28,green,22.75,green,97.0,green,22.42,green,93.0
143,2021-05-29,yellow,21.62,green,96.0,green,22.04,green,92.0
144,2021-05-30,green,21.64,green,97.0,green,22.34,green,93.0
145,2021-05-31,green,22.08,green,95.0,green,22.63,green,95.0
146,2021-06-01,green,22.53,green,98.0,green,22.98,green,96.0
147,2021-06-02,yellow,22.94,green,96.0,green,23.41,green,94.0
148,2021-06-03,red,24.6,green,97.0,yellow,24.9,green,97.0
149,2021-06-04,yellow,25.76,green,96.0,yellow,26.0,green,89.0
150,2021-06-05,yellow,26.61,green,93.0,yellow,26.73,green,94.0
151,2021-06-06,yellow,26.2,green,94.0,yellow,26.12,green,91.0
152,2021-06-07,green,25.62,green,93.0,green,25.67,green,95.0
153,2021-06-08,yellow,25.64,green,93.0,yellow,25.83,green,94.0
154,2021-06-09,yellow,25.77,green,95.0,yellow,25.94,green,93.0
155,2021-06-10,yellow,27.31,green,92.0,yellow,27.34,green,92.0
156,2021-06-11,red,28.53,green,89.0,yellow,28.49,green,90.0
157,2021-06-12,yellow,29.14,green,91.0,yellow,29.08,green,93.0
158,2021-06-13,red,26.66,green,90.0,red,26.41,green,93.0
159,2021-06-14,yellow,25.87,green,93.0,yellow,25.92,green,89.0
160,2021-06-15,yellow,25.41,green,94.0,yellow,25.79,green,93.0
161,2021-06-16,red,24.97,green,95.0,red,25.22,green,93.0
162,2021-06-17,yellow,27.78,green,94.0,yellow,27.76,green,93.0
163,2021-06-18,yellow,29.63,green,86.0,yellow,29.85,green,94.0
164,2021-06-19,green,24.75,green,94.0,green,25.29,green,96.0
165,2021-06-20,green,26.4,green,96.0,green,26.84,green,96.0
