,Date (America/Chicago),"Maschhoff_HOTC_C_RM7 Temp shock - color
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 Temp (°C) - data
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 ReHS - color
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM7 ReHS - data
 (MO201901-6P8LLGNG)","Maschhoff_HOTC_C_RM8 Temp shock - color
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 Temp (°C) - data
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 ReHS - color
 (MO202001-5VW997BT)","Maschhoff_HOTC_C_RM8 ReHS - data
 (MO202001-5VW997BT)","Maschhoff_HOTC_EC_RM7 Temp shock - color
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 Temp (°C) - data
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 ReHS - color
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM7 ReHS - data
 (MO201301-48J2HC6M)","Maschhoff_HOTC_EC_RM8 Temp shock - color
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 Temp (°C) - data
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 ReHS - color
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EC_RM8 ReHS - data
 (MO202101-5HBHCH9K)","Maschhoff_HOTC_EE_RM7 Temp shock - color
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 Temp (°C) - data
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 ReHS - color
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM7 ReHS - data
 (MO202001-VWHX49GR)","Maschhoff_HOTC_EE_RM8 Temp shock - color
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 Temp (°C) - data
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 ReHS - color
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_EE_RM8 ReHS - data
 (MO201401-QHJLTHT9)","Maschhoff_HOTC_WC_RM7 Temp shock - color
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 Temp (°C) - data
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 ReHS - color
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM7 ReHS - data
 (MO201201-ZB856GBP)","Maschhoff_HOTC_WC_RM8 Temp shock - color
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 Temp (°C) - data
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 ReHS - color
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WC_RM8 ReHS - data
 (MO201901-QVBMLZV7)","Maschhoff_HOTC_WW_RM7 Temp shock - color
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 Temp (°C) - data
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 ReHS - color
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM7 ReHS - data
 (MO201301-9V9PHSMB)","Maschhoff_HOTC_WW_RM8 Temp shock - color
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 Temp (°C) - data
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 ReHS - color
 (MO202201-TTDCTLQN)","Maschhoff_HOTC_WW_RM8 ReHS - data
 (MO202201-TTDCTLQN)"
83,2021-05-02,green,22.0,green,72.0,green,21.0,red,33.0,green,20.5,yellow,53.0,green,21.5,red,26.0,green,19.5,red,33.0,green,19.5,yellow,48.0,green,22.5,green,82.0,green,23.0,green,72.0,green,23.5,green,98.0,green,23.5,green,97.0
84,2021-05-03,yellow,24.0,green,70.0,yellow,23.0,red,36.0,yellow,22.5,yellow,45.0,yellow,23.5,red,29.0,yellow,22.5,red,21.0,yellow,22.0,yellow,46.0,yellow,24.0,green,64.0,yellow,24.5,green,71.0,green,25.0,green,98.0,yellow,24.5,green,99.0
85,2021-05-04,green,21.0,green,74.0,green,20.0,yellow,55.0,green,19.0,green,65.0,green,20.5,yellow,51.0,green,19.0,yellow,48.0,green,19.0,yellow,55.0,green,21.5,green,77.0,yellow,21.0,green,77.0,green,22.0,green,96.0,green,22.0,green,96.0
86,2021-05-05,green,21.0,green,77.0,green,20.5,yellow,56.0,green,18.0,green,71.0,green,20.5,yellow,56.0,green,20.0,yellow,50.0,green,19.5,green,72.0,green,20.5,green,74.0,red,19.5,green,78.0,yellow,20.0,green,98.0,yellow,21.5,green,96.0
87,2021-05-06,green,21.5,green,78.0,green,20.5,yellow,53.0,green,18.5,green,74.0,green,20.5,green,64.0,green,19.5,red,36.0,yellow,19.0,green,69.0,yellow,20.5,green,79.0,red,19.0,green,81.0,red,19.5,green,97.0,yellow,21.5,green,92.0
88,2021-05-07,green,20.0,green,84.0,green,20.5,yellow,55.0,yellow,16.5,green,74.0,yellow,21.5,green,67.0,green,21.0,yellow,52.0,yellow,21.0,green,70.0,yellow,17.5,green,81.0,yellow,18.0,green,75.0,yellow,16.0,green,96.0,yellow,21.5,green,86.0
89,2021-05-08,green,,green,80.0,green,,green,68.0,green,,green,80.0,green,,green,77.0,green,,green,63.0,green,,green,75.0,green,,green,86.0,yellow,,green,77.0,green,,green,97.0,green,,green,98.0
90,2021-05-09,green,,green,83.0,green,,green,72.0,green,,green,78.0,yellow,,green,74.0,yellow,,yellow,52.0,yellow,,green,80.0,green,,green,82.0,green,,green,81.0,yellow,,green,97.0,green,,green,96.0
91,2021-05-10,green,21.0,green,88.0,green,20.0,green,72.0,green,19.0,green,77.0,yellow,20.5,yellow,56.0,green,20.0,yellow,44.0,yellow,19.0,green,77.0,yellow,20.5,green,80.0,red,19.5,green,77.0,red,20.5,green,95.0,yellow,21.5,green,86.0
92,2021-05-11,green,20.5,green,86.0,green,20.0,green,73.0,green,17.5,green,77.0,green,20.0,yellow,56.0,green,20.0,yellow,52.0,green,18.5,green,75.0,green,19.0,green,85.0,yellow,18.5,green,83.0,yellow,18.5,green,99.0,green,21.0,green,92.0
93,2021-05-12,green,21.0,green,89.0,green,20.0,green,71.0,green,17.5,green,77.0,yellow,20.5,green,75.0,green,19.5,yellow,55.0,yellow,19.5,green,79.0,yellow,19.5,green,88.0,red,19.0,green,84.0,red,19.0,green,97.0,yellow,21.5,green,92.0
94,2021-05-13,green,20.5,green,88.0,green,20.5,green,73.0,yellow,18.0,green,77.0,yellow,20.5,green,75.0,green,20.5,green,64.0,yellow,20.0,green,79.0,yellow,19.5,green,90.0,red,19.5,green,86.0,red,19.0,green,97.0,yellow,22.0,green,90.0
95,2021-05-14,green,21.0,green,89.0,green,20.5,green,76.0,yellow,19.0,green,79.0,green,21.0,green,80.0,green,21.0,yellow,55.0,yellow,20.0,green,82.0,green,20.5,green,90.0,red,20.0,green,85.0,yellow,20.0,green,98.0,green,22.0,green,90.0
96,2021-05-15,green,21.5,green,87.0,green,20.5,green,77.0,green,19.0,green,79.0,green,20.0,green,77.0,green,19.0,green,65.0,green,18.0,green,86.0,green,21.0,green,85.0,green,20.0,green,87.0,green,21.0,green,98.0,green,22.0,green,96.0
97,2021-05-16,green,22.5,green,87.0,green,22.0,green,72.0,green,21.0,green,74.0,green,22.5,green,71.0,green,21.5,green,64.0,green,20.5,green,82.0,green,23.0,green,89.0,green,23.0,green,86.0,green,24.0,green,98.0,green,24.0,green,98.0
98,2021-05-17,green,22.5,green,87.0,green,22.0,green,77.0,green,21.5,green,80.0,green,22.0,green,77.0,green,21.5,green,69.0,green,21.0,green,80.0,green,23.0,green,88.0,green,23.5,green,87.0,green,24.0,green,99.0,green,24.0,green,99.0
99,2021-05-18,green,22.0,green,88.0,green,21.5,green,80.0,green,21.0,green,77.0,green,21.5,green,74.0,green,21.0,green,68.0,green,20.5,green,76.0,green,22.0,green,91.0,green,23.0,green,87.0,green,23.5,green,99.0,green,24.0,green,99.0
100,2021-05-19,green,23.5,green,92.0,green,23.0,green,80.0,green,23.0,green,74.0,green,23.5,green,69.0,green,23.0,yellow,56.0,green,22.5,green,75.0,green,23.5,green,90.0,green,24.5,green,88.0,green,24.5,green,99.0,green,25.0,green,98.0
101,2021-05-20,yellow,25.0,green,89.0,yellow,24.5,green,73.0,yellow,24.0,green,82.0,yellow,25.0,green,70.0,yellow,24.5,yellow,55.0,yellow,24.0,green,76.0,yellow,25.0,green,95.0,yellow,25.5,green,84.0,yellow,26.0,green,98.0,yellow,26.5,green,96.0
102,2021-05-21,yellow,25.0,green,92.0,yellow,24.5,green,81.0,yellow,24.5,green,79.0,yellow,25.0,green,76.0,yellow,24.5,green,68.0,yellow,24.0,green,76.0,yellow,25.0,green,95.0,yellow,25.5,green,81.0,yellow,26.0,green,99.0,green,26.5,green,99.0
103,2021-05-22,red,26.0,green,93.0,red,25.0,green,78.0,red,25.0,green,83.0,red,26.0,green,78.0,red,25.5,green,67.0,red,25.0,green,78.0,yellow,26.0,green,95.0,red,26.0,green,81.0,yellow,26.5,green,98.0,red,26.5,green,99.0
104,2021-05-23,yellow,26.5,green,92.0,yellow,25.5,green,86.0,yellow,26.0,green,83.0,yellow,26.5,green,76.0,yellow,26.0,green,67.0,yellow,26.0,green,81.0,yellow,26.5,green,94.0,yellow,27.0,green,88.0,yellow,27.5,green,99.0,yellow,27.0,green,99.0
105,2021-05-24,yellow,27.0,green,94.0,yellow,26.0,green,88.0,yellow,26.0,green,83.0,yellow,26.5,green,75.0,yellow,26.5,green,76.0,yellow,26.0,green,80.0,yellow,26.5,green,96.0,yellow,27.0,green,92.0,yellow,27.5,green,97.0,green,27.5,green,99.0
106,2021-05-25,green,27.0,green,93.0,green,26.0,green,90.0,green,26.0,green,86.0,green,27.0,green,77.0,green,26.5,green,75.0,green,26.0,green,81.0,green,26.5,green,96.0,green,27.0,green,90.0,green,27.0,green,98.0,green,27.5,green,97.0
107,2021-05-26,yellow,25.5,green,94.0,yellow,24.5,green,87.0,yellow,25.0,green,87.0,red,25.5,green,76.0,yellow,25.0,green,69.0,yellow,24.5,green,84.0,yellow,25.5,green,99.0,yellow,25.5,green,90.0,yellow,26.0,green,99.0,yellow,26.0,green,99.0
108,2021-05-27,green,23.5,green,93.0,green,23.0,green,87.0,green,23.0,green,89.0,green,23.5,green,83.0,green,23.0,green,77.0,green,22.5,green,82.0,green,23.5,green,98.0,green,24.5,green,92.0,green,25.0,green,98.0,green,25.0,green,99.0
109,2021-05-28,green,21.5,green,96.0,green,20.5,green,90.0,green,19.5,green,92.0,green,20.0,green,84.0,green,19.0,green,79.0,green,18.5,green,87.0,green,21.5,green,95.0,yellow,21.0,green,94.0,green,22.0,green,99.0,green,22.5,green,99.0
110,2021-05-29,green,21.0,green,94.0,green,19.5,green,90.0,green,17.0,green,91.0,green,18.5,green,89.0,green,17.5,green,87.0,green,16.5,green,90.0,green,20.0,green,94.0,yellow,18.0,green,95.0,yellow,19.5,green,98.0,green,20.0,green,99.0
111,2021-05-30,green,21.5,green,93.0,green,20.5,green,91.0,green,19.0,green,92.0,green,20.0,green,89.0,green,20.0,green,82.0,green,19.0,green,93.0,green,21.0,green,94.0,green,20.0,green,96.0,green,21.0,green,99.0,green,21.5,green,97.0
112,2021-05-31,green,22.5,green,95.0,yellow,22.0,green,88.0,green,20.5,green,92.0,yellow,21.5,green,86.0,yellow,21.0,green,80.0,yellow,20.0,green,89.0,green,22.5,green,98.0,yellow,22.0,green,95.0,green,23.0,green,99.0,green,23.5,green,99.0
113,2021-06-01,green,21.0,green,93.0,green,20.0,green,90.0,green,20.0,green,92.0,green,20.5,green,88.0,green,20.0,green,83.0,green,19.5,green,88.0,green,21.5,green,97.0,green,22.0,green,94.0,green,23.0,green,99.0,green,22.5,green,99.0
114,2021-06-02,green,21.5,green,97.0,green,20.5,green,91.0,green,20.5,green,92.0,green,21.0,green,88.0,green,20.5,green,80.0,green,20.0,green,88.0,green,22.0,green,97.0,green,22.0,green,95.0,green,80.5,green,98.0,green,22.5,green,99.0
115,2021-06-03,yellow,23.5,green,97.0,yellow,22.0,green,92.0,yellow,22.5,green,90.0,yellow,23.0,green,86.0,yellow,22.5,green,77.0,yellow,22.0,green,82.0,yellow,23.5,green,97.0,yellow,23.5,green,96.0,yellow,173.5,green,98.0,yellow,24.0,green,98.0
116,2021-06-04,yellow,25.5,green,98.0,yellow,24.5,green,93.0,yellow,24.5,green,92.0,yellow,25.0,green,86.0,yellow,24.5,green,85.0,yellow,24.0,green,87.0,yellow,25.5,green,97.0,yellow,26.0,green,95.0,yellow,26.5,green,99.0,yellow,26.5,green,99.0
117,2021-06-05,yellow,26.5,green,97.0,yellow,25.5,green,93.0,yellow,25.5,green,93.0,yellow,26.0,green,83.0,yellow,26.0,green,78.0,yellow,25.5,green,89.0,yellow,26.0,green,99.0,yellow,27.0,green,96.0,yellow,27.0,green,99.0,yellow,27.5,green,99.0
118,2021-06-06,green,25.5,green,95.0,green,25.5,green,92.0,green,25.0,green,91.0,green,26.0,green,82.0,green,25.5,green,82.0,green,25.0,green,87.0,green,25.5,green,96.0,green,27.0,green,93.0,green,26.0,green,99.0,green,27.0,green,97.0
119,2021-06-07,green,25.5,green,97.0,green,25.0,green,91.0,green,24.5,green,91.0,green,25.5,green,84.0,green,25.0,green,77.0,green,24.5,green,88.0,green,25.0,green,99.0,green,26.5,green,95.0,green,26.0,green,96.0,green,27.0,green,98.0
120,2021-06-08,green,24.5,green,95.0,green,24.0,green,92.0,green,24.0,green,92.0,green,24.5,green,84.0,green,24.0,green,83.0,green,23.5,green,85.0,green,24.5,green,96.0,green,25.5,green,94.0,green,25.0,green,98.0,green,26.0,green,96.0
121,2021-06-09,yellow,26.5,green,97.0,yellow,25.5,green,96.0,yellow,25.5,green,94.0,yellow,26.0,green,90.0,yellow,26.0,green,82.0,green,25.5,green,88.0,green,26.0,green,98.0,yellow,26.5,green,97.0,green,27.0,green,99.0,green,27.0,green,97.0
122,2021-06-10,yellow,28.0,green,99.0,yellow,27.0,green,97.0,yellow,27.0,green,94.0,yellow,28.0,green,86.0,yellow,27.5,green,86.0,yellow,27.0,green,92.0,yellow,27.5,green,99.0,yellow,28.0,green,98.0,yellow,28.5,green,99.0,yellow,28.5,green,99.0
123,2021-06-11,yellow,29.5,green,98.0,yellow,28.5,green,90.0,yellow,29.0,green,96.0,yellow,29.5,green,90.0,yellow,29.5,green,89.0,yellow,29.0,green,89.0,yellow,29.5,green,98.0,yellow,29.5,green,98.0,yellow,30.0,green,99.0,yellow,29.5,green,98.0
124,2021-06-12,yellow,31.0,green,98.0,yellow,30.0,green,92.0,yellow,30.0,green,95.0,yellow,31.0,green,86.0,yellow,30.5,green,86.0,yellow,30.5,green,90.0,yellow,30.5,green,99.0,yellow,30.5,green,96.0,yellow,31.0,green,99.0,yellow,31.0,green,99.0
125,2021-06-13,red,29.0,green,98.0,red,28.0,green,91.0,red,28.0,green,95.0,red,29.0,green,88.0,red,28.5,green,88.0,red,28.0,green,90.0,red,28.5,green,98.0,red,28.5,green,95.0,yellow,29.0,green,97.0,red,28.5,green,96.0
126,2021-06-14,red,28.5,green,98.0,red,27.0,green,94.0,red,27.5,green,96.0,red,28.0,green,88.0,red,28.0,green,83.0,red,27.5,green,90.0,red,28.0,green,96.0,red,28.0,green,96.0,red,28.5,green,99.0,red,28.0,green,98.0
127,2021-06-15,red,26.0,green,95.0,red,25.0,green,91.0,red,25.0,green,94.0,red,25.5,green,88.0,red,25.5,green,88.0,red,25.0,green,92.0,red,26.0,green,97.0,red,26.0,green,95.0,yellow,26.5,green,99.0,yellow,26.5,green,99.0
128,2021-06-16,red,26.0,green,96.0,red,25.0,green,96.0,red,25.5,green,96.0,red,26.0,green,92.0,red,25.5,green,85.0,red,25.0,green,87.0,red,26.0,green,98.0,red,26.0,green,96.0,red,26.5,green,98.0,yellow,26.5,green,98.0
129,2021-06-17,yellow,28.0,green,96.0,yellow,27.0,green,93.0,yellow,27.5,green,97.0,yellow,28.0,green,88.0,yellow,28.0,green,87.0,yellow,27.5,green,92.0,yellow,27.5,green,98.0,yellow,28.0,green,95.0,yellow,28.5,green,99.0,yellow,28.5,green,99.0
130,2021-06-18,green,31.5,green,96.0,yellow,30.5,green,92.0,yellow,31.0,green,95.0,yellow,31.5,green,93.0,yellow,31.5,green,91.0,yellow,31.0,green,96.0,green,31.0,green,98.0,yellow,31.5,green,96.0,green,31.5,green,99.0,yellow,31.5,green,96.0
131,2021-06-19,green,28.5,green,97.0,green,27.5,green,94.0,green,28.0,green,97.0,green,28.5,green,92.0,green,28.5,green,87.0,green,28.0,green,95.0,green,28.0,green,99.0,green,28.5,green,97.0,green,29.0,green,99.0,green,29.0,green,99.0
132,2021-06-20,green,30.0,green,97.0,green,29.0,green,95.0,green,29.5,green,98.0,green,30.5,green,95.0,green,30.0,green,87.0,green,29.5,green,97.0,green,29.5,green,99.0,yellow,30.5,green,98.0,green,30.0,green,97.0,green,30.0,green,99.0
133,2021-06-21,blue,25.0,blue,,yellow,23.0,green,96.0,yellow,23.0,green,96.0,yellow,23.5,green,94.0,yellow,23.0,green,90.0,yellow,23.0,green,95.0,green,24.0,green,98.0,blue,,blue,,green,24.5,green,98.0,yellow,24.5,green,99.0
134,2021-06-22,blue,,blue,,yellow,21.5,green,95.0,yellow,21.5,green,93.0,yellow,22.0,green,89.0,yellow,21.5,green,83.0,blue,16.0,blue,,yellow,23.0,green,94.0,blue,,blue,,yellow,23.5,green,99.0,blue,21.5,blue,
135,2021-06-23,blue,,blue,,yellow,24.0,green,93.0,green,23.5,green,97.0,yellow,24.5,green,91.0,yellow,23.5,green,85.0,blue,,blue,,yellow,24.0,green,97.0,blue,,blue,,yellow,25.0,green,96.0,blue,,blue,
136,2021-06-24,blue,,blue,,green,25.5,green,94.0,blue,,blue,,green,26.0,green,91.0,green,25.5,green,85.0,blue,,blue,,green,25.5,green,98.0,blue,,blue,,green,26.0,green,99.0,blue,,blue,
137,2021-06-25,blue,,blue,,blue,26.5,blue,,blue,,blue,,blue,27.5,blue,,green,28.0,green,89.0,blue,,blue,,green,27.5,green,97.0,blue,,blue,,green,28.0,green,99.0,blue,,blue,
138,2021-06-26,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,29.0,green,90.0,blue,,blue,,yellow,28.5,green,98.0,blue,,blue,,yellow,29.0,green,98.0,blue,,blue,
139,2021-06-27,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,28.5,green,89.0,blue,,blue,,yellow,28.0,green,99.0,blue,,blue,,yellow,28.5,green,97.0,blue,,blue,
140,2021-06-28,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,27.5,green,95.0,blue,,blue,,green,27.5,green,99.0,blue,,blue,,green,28.0,green,98.0,blue,,blue,
141,2021-06-29,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,29.5,green,94.0,blue,,blue,,yellow,29.0,green,99.0,blue,,blue,,yellow,30.0,green,98.0,blue,,blue,
142,2021-06-30,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.0,green,94.0,blue,,blue,,yellow,27.0,green,98.0,blue,,blue,,yellow,27.5,green,98.0,blue,,blue,
143,2021-07-01,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,25.5,green,95.0,blue,,blue,,yellow,25.5,green,99.0,blue,,blue,,yellow,26.5,green,99.0,blue,,blue,
144,2021-07-02,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.0,green,83.0,blue,,blue,,yellow,23.0,green,98.0,blue,,blue,,yellow,23.5,green,98.0,blue,,blue,
145,2021-07-03,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,23.0,green,84.0,blue,,blue,,yellow,24.0,green,99.0,blue,,blue,,yellow,25.0,green,99.0,blue,,blue,
146,2021-07-04,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,25.5,green,93.0,blue,,blue,,yellow,26.0,green,99.0,blue,,blue,,yellow,26.5,green,99.0,blue,,blue,
147,2021-07-05,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.0,green,92.0,blue,,blue,,yellow,27.0,green,99.0,blue,,blue,,yellow,27.5,green,99.0,blue,,blue,
148,2021-07-06,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,28.0,green,95.0,blue,,blue,,yellow,28.0,green,99.0,blue,,blue,,yellow,28.5,green,99.0,blue,,blue,
149,2021-07-07,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,29.0,green,95.0,blue,,blue,,yellow,29.0,green,99.0,blue,,blue,,yellow,29.5,green,97.0,blue,,blue,
150,2021-07-08,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.5,green,96.0,blue,,blue,,yellow,27.5,green,99.0,blue,,blue,,yellow,28.0,green,99.0,blue,,blue,
151,2021-07-09,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,25.5,green,95.0,blue,,blue,,green,26.0,green,99.0,blue,,blue,,green,26.5,green,96.0,blue,,blue,
152,2021-07-10,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,24.0,green,91.0,blue,,blue,,green,24.0,green,98.0,blue,,blue,,green,25.0,green,97.0,blue,,blue,
153,2021-07-11,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,24.5,green,93.0,blue,,blue,,yellow,25.0,green,99.0,blue,,blue,,green,25.5,green,99.0,blue,,blue,
154,2021-07-12,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,25.0,green,92.0,blue,,blue,,green,25.5,green,98.0,blue,,blue,,green,26.0,green,96.0,blue,,blue,
155,2021-07-13,blue,19.5,blue,,blue,19.5,blue,,blue,18.0,blue,,blue,13.0,blue,,yellow,25.0,green,96.0,blue,17.0,blue,,yellow,25.5,green,99.0,blue,19.5,blue,,yellow,26.0,green,96.0,blue,18.0,blue,
156,2021-07-14,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,26.5,green,93.0,blue,,blue,,yellow,26.5,green,97.0,blue,,blue,,yellow,27.0,green,99.0,blue,,blue,
157,2021-07-15,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,28.0,green,96.0,blue,,blue,,yellow,28.0,green,99.0,blue,,blue,,yellow,28.5,green,97.0,blue,,blue,
158,2021-07-16,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,24.0,green,94.0,blue,,blue,,green,24.5,green,99.0,blue,,blue,,green,25.0,green,96.0,blue,,blue,
159,2021-07-17,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,24.5,green,92.0,blue,,blue,,green,25.0,green,98.0,blue,,blue,,green,26.0,green,98.0,blue,,blue,
160,2021-07-18,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,25.0,green,94.0,blue,,blue,,yellow,25.0,green,99.0,blue,,blue,,green,26.0,green,99.0,blue,,blue,
161,2021-07-19,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,25.0,green,93.0,blue,,blue,,yellow,25.5,green,97.0,blue,,blue,,yellow,26.0,green,99.0,blue,,blue,
162,2021-07-20,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,25.5,green,90.0,blue,,blue,,yellow,25.5,green,98.0,blue,,blue,,yellow,26.0,green,99.0,blue,,blue,
163,2021-07-21,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,26.0,green,89.0,blue,,blue,,yellow,26.0,green,98.0,blue,,blue,,yellow,26.5,green,99.0,blue,,blue,
164,2021-07-22,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.0,green,92.0,blue,,blue,,yellow,27.5,green,98.0,blue,,blue,,yellow,28.0,green,99.0,blue,,blue,
165,2021-07-23,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.5,green,88.0,blue,,blue,,yellow,27.5,green,97.0,blue,,blue,,yellow,28.0,green,99.0,blue,,blue,
166,2021-07-24,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,29.0,green,83.0,blue,,blue,,yellow,28.5,green,98.0,blue,,blue,,yellow,29.0,green,99.0,blue,,blue,
167,2021-07-25,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.5,green,84.0,blue,,blue,,green,27.5,green,98.0,blue,,blue,,green,28.0,green,96.0,blue,,blue,
168,2021-07-26,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.5,green,85.0,blue,,blue,,yellow,27.5,green,97.0,blue,,blue,,yellow,28.0,green,99.0,blue,,blue,
169,2021-07-27,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,red,26.5,green,90.0,blue,,blue,,red,26.5,green,96.0,blue,,blue,,yellow,27.0,green,99.0,blue,,blue,
170,2021-07-28,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.5,green,89.0,blue,,blue,,yellow,27.0,green,98.0,blue,,blue,,yellow,28.0,green,99.0,blue,,blue,
171,2021-07-29,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,red,29.0,green,90.0,blue,,blue,,red,28.5,green,97.0,blue,,blue,,yellow,29.0,green,99.0,blue,,blue,
172,2021-07-30,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,26.0,green,87.0,blue,,blue,,yellow,26.0,green,97.0,blue,,blue,,yellow,26.5,green,98.0,blue,,blue,
173,2021-07-31,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,22.0,green,89.0,blue,,blue,,green,22.0,green,96.0,blue,,blue,,green,22.5,green,98.0,blue,,blue,
174,2021-08-01,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,red,23.5,green,83.0,blue,,blue,,yellow,23.5,green,98.0,blue,,blue,,yellow,24.0,green,97.0,blue,,blue,
175,2021-08-02,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.5,green,90.0,blue,,blue,,yellow,22.5,green,97.0,blue,,blue,,yellow,23.5,green,97.0,blue,,blue,
176,2021-08-03,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,22.5,green,93.0,blue,,blue,,red,22.5,green,98.0,blue,,blue,,yellow,23.0,green,99.0,blue,,blue,
177,2021-08-04,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,red,23.0,green,91.0,blue,,blue,,red,23.0,green,98.0,blue,,blue,,yellow,23.5,green,99.0,blue,,blue,
178,2021-08-05,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,24.0,green,92.0,blue,,blue,,yellow,23.5,green,99.0,blue,,blue,,yellow,24.0,green,96.0,blue,,blue,
179,2021-08-06,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,25.5,green,90.0,blue,,blue,,yellow,25.0,green,98.0,blue,,blue,,yellow,25.5,green,99.0,blue,,blue,
180,2021-08-07,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,27.0,green,91.0,blue,,blue,,yellow,26.5,green,94.0,blue,,blue,,yellow,27.0,green,99.0,blue,,blue,
181,2021-08-08,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,yellow,26.5,green,88.0,blue,,blue,,yellow,26.0,green,87.0,blue,,blue,,yellow,26.5,green,97.0,blue,,blue,
182,2021-08-09,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,green,28.0,green,86.0,blue,,blue,,green,27.0,green,97.0,blue,,blue,,green,27.5,green,99.0,blue,,blue,
