GlobalID,Temp_ReHS,ReHS,Color_ReHS,Site
4NL2_1_44250,72.80000000000001,99,Green,4NL2
4NL2_1_44251,73.7,98.33333333333333,Green,4NL2
4NL2_1_44252,72.19999999999999,98,Green,4NL2
4NL2_1_44253,73.1,99,Green,4NL2
4NL2_1_44254,73.4,98.66666666666667,Green,4NL2
4NL2_1_44255,74.30000000000001,99,Green,4NL2
4NL2_1_44256,73.4,99,Green,4NL2
4NL2_1_44257,72.5,98.66666666666667,Green,4NL2
4NL2_1_44258,73.7,97.33333333333333,Green,4NL2
4NL2_1_44259,72.19999999999999,97.66666666666667,Green,4NL2
4NL2_1_44260,72.19999999999999,98,Green,4NL2
4NL2_1_44261,72.80000000000001,98.66666666666667,Green,4NL2
4NL2_1_44262,73.1,98.66666666666667,Green,4NL2
4NL2_1_44263,73.7,98.66666666666667,Green,4NL2
4NL2_1_44264,73.4,97.33333333333333,Green,4NL2
4NL2_1_44265,73.7,98,Green,4NL2
4NL2_1_44266,72.5,98.66666666666667,Green,4NL2
4NL2_1_44267,72.19999999999999,99,Green,4NL2
4NL2_1_44268,71.9,98,Green,4NL2
4NL2_1_44269,71.3,99,Green,4NL2
4NL2_1_44270,70.7,98.66666666666667,Green,4NL2
4NL2_1_44271,68.30000000000001,NA,NA,4NL2
4NL2_1_44272,NA,NA,NA,4NL2
4NL2_1_44273,53.6,NA,NA,4NL2
4NL2_1_44274,54.5,98,Green,4NL2
4NL2_1_44275,54.5,98,Green,4NL2
4NL2_1_44276,56,98.66666666666667,Green,4NL2
4NL2_1_44277,56,97.66666666666667,Green,4NL2
4NL2_1_44278,56,99,Green,4NL2
4NL2_1_44279,55.7,99,Green,4NL2
4NL2_1_44280,53.3,98.66666666666667,Green,4NL2
4NL2_1_44281,53,98.66666666666667,Green,4NL2
4NL2_1_44282,56,98,Green,4NL2
4NL2_1_44283,53.3,98.33333333333333,Green,4NL2
4NL2_1_44284,56.900000000000006,98,Green,4NL2
4NL2_1_44285,64.7,98.33333333333333,Green,4NL2
4NL2_1_44286,84.5,97,Green,4NL2
4NL2_1_44287,86.30000000000001,86.33333333333333,Green,4NL2
4NL2_1_44288,85.4,89,Green,4NL2
4NL2_1_44289,84.2,83,Green,4NL2
4NL2_1_44290,83.9,62.666666666666664,Green,4NL2
4NL2_1_44291,84.2,77.33333333333333,Green,4NL2
4NL2_1_44292,84.2,68,Green,4NL2
4NL2_1_44293,83.9,75,Green,4NL2
4NL2_1_44294,84.5,83,Green,4NL2
4NL2_1_44295,84.5,85.66666666666667,Green,4NL2
4NL2_1_44296,84.2,93.66666666666667,Green,4NL2
4NL2_1_44297,84.5,94,Green,4NL2
4NL2_1_44298,83.6,96,Green,4NL2
4NL2_1_44299,83.6,95.33333333333333,Green,4NL2
4NL2_1_44300,83.9,96,Green,4NL2
4NL2_1_44301,83,95.33333333333333,Green,4NL2
