,Date (America/Chicago),"Maschhoff_TPLJ_RM2_C Temp shock - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_CTemp (°C) - data
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - color
 (MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_C ReHS - data
(MO201301-4TG24WHN)","Maschhoff_TPLJ_RM2_W Temp shock - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_WTemp (°C) - data
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - color
 (MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM2_W ReHS - data
(MO201301-MLJQ4R57)","Maschhoff_TPLJ_RM1_W Temp shock - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_WTemp (°C) - data
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - color
 (MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_W ReHS - data
(MO201601-CM9R2MZ9)","Maschhoff_TPLJ_RM1_C Temp shock - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_CTemp (°C) - data
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - color
 (MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM1_C ReHS - data
(MO201601-W9GJRDGS)","Maschhoff_TPLJ_RM2_E Temp shock - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_ETemp (°C) - data
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - color
 (MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM2_E ReHS - data
(MO202501-DPMVN7MV)","Maschhoff_TPLJ_RM1_E Temp shock - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_ETemp (°C) - data
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - color
 (MO202701-QRND87D5)","Maschhoff_TPLJ_RM1_E ReHS - data
(MO202701-QRND87D5)"
132,2021-07-25,red,24.5,green,97.0,red,25.0,green,99.0,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,
133,2021-07-26,red,25.0,green,99.0,yellow,25.0,green,97.0,yellow,,blue,,red,,blue,,red,,blue,,red,,blue,
134,2021-07-27,yellow,27.0,green,99.0,yellow,27.0,green,99.0,yellow,30.0,blue,,yellow,30.0,blue,,yellow,30.0,blue,,yellow,29.5,blue,
135,2021-07-28,green,29.0,green,98.0,green,29.0,green,99.0,green,29.0,green,98.0,green,29.0,green,98.0,yellow,28.5,green,83.0,yellow,28.0,green,89.0
136,2021-07-29,yellow,27.0,green,99.0,yellow,27.0,green,98.0,yellow,27.5,green,98.0,yellow,27.5,green,99.0,yellow,27.0,green,92.0,yellow,26.5,green,90.0
137,2021-07-30,green,22.0,green,99.0,green,22.5,green,99.0,green,22.5,green,98.0,green,22.5,green,99.0,green,22.0,green,98.0,green,21.5,green,93.0
138,2021-07-31,yellow,23.0,green,99.0,green,23.5,green,99.0,yellow,24.0,green,96.0,green,24.0,green,98.0,green,23.0,green,97.0,green,23.0,green,99.0
139,2021-08-01,green,19.5,blue,,green,20.0,blue,,yellow,22.0,green,98.0,yellow,22.5,green,98.0,green,19.0,blue,,yellow,21.0,green,99.0
140,2021-08-02,green,,blue,,green,,blue,,green,17.5,blue,,green,18.5,blue,,green,,blue,,green,16.5,blue,
141,2021-08-03,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
142,2021-08-04,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
143,2021-08-05,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
144,2021-08-06,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
145,2021-08-07,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
146,2021-08-08,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,,green,,blue,
